,unique_locations,most_active_hour,weekend_activity,weekday_activity,amount_of_activity,room_transition_count,toilet,bathroom1,bedroom1,conservatory,dining_room,hallway,kitchen,living_room,lounge,study,average_consecutive_no_motion,longest_consecutive_no_motion,minimum_consecutive_no_motion,night,morning,afternoon,evening,distinct_days_with_activity,common,other,private,avg_peak_activity_window,multiple_occupancy
46,6,11,0,441,1440.45,241,0.0,34.333333333333336,522.0,0.0,0.0,81.48333333333333,341.45,0.0,416.55,44.63333333333333,3.266326530612245,318.21666666666664,0.016666666666666666,6,231,127,77,31,374.0,0.0,67.0,19.0,1
47,6,10,0,607,1436.3,378,0.0,18.8,530.55,0.0,0.0,95.63333333333333,198.26666666666668,0.0,457.85,135.2,2.3662273476112023,261.31666666666666,0.0,18,294,203,92,31,557.0,0.0,50.0,19.0,1
48,6,12,0,597,1456.7,395,0.0,35.666666666666664,542.8833333333333,0.0,0.0,124.25,229.11666666666667,0.0,470.05,54.733333333333334,2.440033500837521,357.0833333333333,0.0,8,253,258,78,31,548.0,0.0,49.0,18.0,1
49,6,11,0,623,1419.9166666666667,397,0.0,41.18333333333334,529.3833333333333,0.0,0.0,104.33333333333333,235.6,0.0,438.6166666666667,70.8,2.279159978598181,261.96666666666664,0.016666666666666666,6,304,245,68,31,531.0,0.0,92.0,19.0,1
50,6,13,556,0,1451.5166666666667,303,0.0,19.666666666666668,539.9833333333333,0.0,0.0,105.46666666666667,171.93333333333334,0.0,512.5666666666667,101.9,2.6106414868105516,319.4166666666667,0.0,7,213,252,84,31,504.0,0.0,52.0,19.0,1
51,6,12,395,0,1438.1499999999999,209,0.0,17.366666666666667,512.9166666666666,0.0,0.0,67.88333333333334,178.93333333333334,0.0,645.25,15.799999999999999,3.640886075949367,336.3333333333333,0.03333333333333333,5,146,158,86,31,352.0,0.0,43.0,18.0,1
52,6,13,0,427,1450.05,213,0.0,36.45,516.4833333333333,0.0,0.0,68.41666666666667,153.86666666666667,0.0,486.43333333333334,188.4,3.3959016393442623,343.75,0.016666666666666666,6,195,150,76,31,368.0,0.0,59.0,18.0,1
53,6,16,0,482,1418.6,264,0.0,24.016666666666666,496.08333333333337,0.0,0.0,86.86666666666666,258.46666666666664,0.0,440.7,112.46666666666667,2.943153526970954,359.23333333333335,0.0,10,192,185,95,31,435.0,0.0,47.0,18.0,1
54,6,12,0,535,1440.2166666666667,289,0.0,21.066666666666666,528.6166666666667,0.0,0.0,115.98333333333333,158.03333333333333,0.0,495.03333333333336,121.48333333333333,2.6919937694704053,450.96666666666664,0.0,0,197,267,71,31,488.0,0.0,47.0,16.0,1
55,6,12,0,459,1443.35,254,0.0,33.38333333333333,535.9833333333333,0.0,0.0,83.63333333333334,182.26666666666665,0.0,402.8333333333333,205.25,3.144553376906318,264.01666666666665,0.0,8,185,177,89,31,404.0,0.0,55.0,20.0,1
56,6,12,0,375,1434.9333333333334,212,0.0,26.283333333333335,583.7333333333333,0.0,0.0,80.16666666666667,173.93333333333334,0.0,520.8,50.016666666666666,3.826488888888889,383.15,0.0,5,122,156,92,31,314.0,0.0,61.0,18.0,1
57,6,12,533,0,1423.8500000000001,322,0.0,28.883333333333333,520.9166666666667,0.0,0.0,85.16666666666667,194.41666666666666,0.0,476.8333333333333,117.63333333333334,2.6713883677298313,434.03333333333336,0.0,17,203,250,63,31,470.0,0.0,63.0,17.0,1
58,6,18,301,0,1470.75,154,0.0,22.583333333333336,549.35,0.0,0.0,110.66666666666667,123.65,0.0,655.4,9.1,4.886212624584718,330.93333333333334,0.05,6,118,79,98,31,251.0,0.0,50.0,19.0,1
59,6,15,0,526,1441.5,283,0.0,27.5,536.2,0.0,0.0,89.68333333333334,229.83333333333334,0.0,372.1333333333334,186.15,2.7404942965779466,429.06666666666666,0.0,6,219,193,108,31,473.0,0.0,53.0,17.0,1
60,6,12,0,447,1435.2833333333333,233,0.0,27.5,530.9166666666666,0.0,0.0,78.68333333333334,386.3833333333333,0.0,337.76666666666665,74.03333333333333,3.210924683072334,389.05,0.0,6,220,146,75,31,386.0,0.0,61.0,17.0,1
61,6,12,0,484,1444.4,249,0.0,24.866666666666667,523.9166666666666,0.0,0.0,85.78333333333333,241.63333333333333,0.0,403.2,165.0,2.984297520661157,431.3666666666667,0.016666666666666666,7,229,169,79,31,438.0,0.0,46.0,17.0,1
62,8,12,0,586,1391.7,345,2.6166666666666667,223.83333333333334,394.43333333333334,0.0,8.433333333333334,85.01666666666667,52.0,0.0,610.0,15.366666666666667,2.378974358974359,208.63333333333333,0.0,37,228,189,132,31,426.0,13.0,147.0,23.0,1
63,8,15,0,605,1406.9333333333334,428,3.75,149.63333333333333,593.25,0.0,6.866666666666666,145.46666666666667,76.55,0.0,431.06666666666666,0.35,2.3255096418732784,147.5,0.0,15,159,282,149,31,433.0,14.0,158.0,22.0,1
64,7,13,0,811,1519.2,563,6.366666666666666,54.300000000000004,504.16666666666663,0.0,80.36666666666666,290.0333333333333,55.53333333333333,0.0,528.4333333333333,0.0,1.8732429099876695,317.21666666666664,0.0,9,234,394,174,31,583.0,94.0,134.0,20.0,1
65,8,10,0,632,1425.6833333333334,393,7.866666666666667,55.766666666666666,514.9333333333334,0.0,2.5999999999999996,376.4166666666667,72.61666666666666,0.0,288.05,107.43333333333334,2.25582805907173,193.61666666666667,0.0,11,284,258,79,31,476.0,5.0,151.0,22.0,1
66,8,10,0,548,1421.4833333333333,323,6.316666666666666,55.983333333333334,583.5333333333334,0.0,7.15,310.3666666666667,50.25,0.0,389.31666666666666,18.566666666666666,2.593947688564477,276.9166666666667,0.0,9,234,131,174,31,368.0,9.0,171.0,19.0,1
67,7,11,494,0,1435.5666666666666,304,2.5166666666666666,22.2,633.3166666666667,0.0,5.616666666666667,173.61666666666667,57.266666666666666,0.0,541.0333333333333,0.0,2.9060053981106613,177.01666666666668,0.0,9,195,153,137,31,359.0,10.0,125.0,22.0,1
68,8,12,480,0,1426.9666666666667,268,3.0,54.666666666666664,655.7166666666667,0.0,2.6500000000000004,161.98333333333332,64.7,0.0,434.5833333333333,49.666666666666664,2.972847222222222,224.18333333333334,0.0,9,143,184,144,31,379.0,5.0,96.0,22.0,1
69,8,19,0,403,1451.9666666666667,194,4.183333333333334,186.36666666666665,460.73333333333335,0.0,19.01666666666667,351.48333333333335,35.0,0.0,312.48333333333335,82.7,3.6028949545078577,273.05,0.0,17,118,70,198,31,286.0,5.0,112.0,21.0,1
70,8,15,0,721,1464.0333333333333,383,2.166666666666667,99.18333333333334,623.6666666666666,0.0,12.433333333333334,83.68333333333334,59.86666666666667,0.0,408.1666666666667,174.86666666666667,2.030559408229311,110.95,0.0,27,171,364,159,31,529.0,23.0,169.0,23.0,1
71,8,12,0,578,1445.3333333333333,322,4.05,73.65,660.8333333333334,0.0,1.05,177.48333333333335,70.7,0.0,420.5833333333333,36.983333333333334,2.5005767012687428,183.3,0.0,11,214,178,175,31,379.0,5.0,194.0,21.0,1
72,8,18,0,579,1388.0833333333333,278,4.7,163.08333333333331,530.8333333333333,0.0,2.75,128.01666666666668,55.516666666666666,0.0,339.2833333333333,163.9,2.3973805411629243,112.86666666666666,0.0,10,186,222,161,31,415.0,2.0,162.0,21.0,1
73,7,11,0,367,1496.2333333333333,212,2.8833333333333333,63.03333333333333,613.0166666666667,0.0,1.1166666666666667,250.15,33.416666666666664,0.0,532.6166666666667,0.0,4.076930063578565,328.18333333333334,0.0,6,143,111,107,31,265.0,3.0,99.0,19.0,1
74,8,12,768,0,1391.0833333333333,539,4.9,59.21666666666667,550.5833333333334,0.0,20.116666666666667,241.5,63.733333333333334,0.0,399.2833333333333,51.75,1.811306423611111,151.31666666666666,0.0,7,334,256,171,31,604.0,41.0,123.0,21.0,1
75,7,8,401,0,1492.3833333333334,222,4.716666666666667,118.10000000000001,0.0,0.0,0.15,616.0333333333333,53.6,0.0,669.5833333333334,30.2,3.721654197838737,422.7,0.016666666666666666,0,145,103,153,31,348.0,1.0,52.0,17.0,1
76,7,18,0,559,1388.8833333333334,258,4.283333333333333,515.5833333333334,0.0,0.0,4.7,278.1666666666667,75.98333333333333,0.0,318.45,191.71666666666667,2.4845855694692904,381.01666666666665,0.0,5,171,208,175,31,482.0,5.0,72.0,22.0,1
77,7,12,0,477,1453.2833333333333,309,7.266666666666667,534.0166666666667,0.0,0.0,7.483333333333333,356.6666666666667,56.266666666666666,0.0,447.35,44.233333333333334,3.0467155835080364,267.8,0.0,10,52,296,119,31,394.0,11.0,72.0,22.0,1
78,7,19,0,379,1398.75,212,5.433333333333334,612.7666666666667,0.0,0.0,4.116666666666666,296.06666666666666,54.05,0.0,405.35,20.966666666666665,3.690633245382586,441.26666666666665,0.0,0,64,202,113,31,319.0,8.0,52.0,16.0,1
79,7,17,0,360,1478.0666666666666,192,14.799999999999999,582.9,0.0,0.0,2.6666666666666665,234.96666666666667,44.3,0.0,524.3666666666667,74.06666666666666,4.105740740740741,483.6,0.0,0,112,135,113,31,300.0,6.0,54.0,17.0,1
80,7,12,0,448,1438.6,227,2.35,573.9166666666666,0.0,0.0,2.4833333333333334,141.31666666666666,39.03333333333333,0.0,527.3166666666667,152.18333333333334,3.211160714285714,504.1333333333333,0.0,0,202,160,86,31,389.0,10.0,49.0,16.0,1
81,7,12,308,0,1394.1833333333334,182,0.8500000000000001,575.3333333333334,0.0,0.0,4.35,530.35,35.05,0.0,125.98333333333333,122.26666666666667,4.5265692640692645,459.81666666666666,0.0,0,162,86,60,31,247.0,7.0,54.0,16.0,1
